Date,US_GDP
2009-12-24,16502.754
2009-12-25,16502.754
2009-12-26,16502.754
2009-12-27,16502.754
2009-12-28,16502.754
2009-12-29,16502.754
2009-12-30,16502.754
2009-12-31,16502.754
2010-01-01,16582.71
2010-01-02,16582.71
2010-01-03,16582.71
2010-01-04,16582.71
2010-01-05,16582.71
2010-01-06,16582.71
2010-01-07,16582.71
2010-01-08,16582.71
2010-01-09,16582.71
2010-01-10,16582.71
2010-01-11,16582.71
2010-01-12,16582.71
2010-01-13,16582.71
2010-01-14,16582.71
2010-01-15,16582.71
2010-01-16,16582.71
2010-01-17,16582.71
2010-01-18,16582.71
2010-01-19,16582.71
2010-01-20,16582.71
2010-01-21,16582.71
2010-01-22,16582.71
2010-01-23,16582.71
2010-01-24,16582.71
2010-01-25,16582.71
2010-01-26,16582.71
2010-01-27,16582.71
2010-01-28,16582.71
2010-01-29,16582.71
2010-01-30,16582.71
2010-01-31,16582.71
2010-02-01,16582.71
2010-02-02,16582.71
2010-02-03,16582.71
2010-02-04,16582.71
2010-02-05,16582.71
2010-02-06,16582.71
2010-02-07,16582.71
2010-02-08,16582.71
2010-02-09,16582.71
2010-02-10,16582.71
2010-02-11,16582.71
2010-02-12,16582.71
2010-02-13,16582.71
2010-02-14,16582.71
2010-02-15,16582.71
2010-02-16,16582.71
2010-02-17,16582.71
2010-02-18,16582.71
2010-02-19,16582.71
2010-02-20,16582.71
2010-02-21,16582.71
2010-02-22,16582.71
2010-02-23,16582.71
2010-02-24,16582.71
2010-02-25,16582.71
2010-02-26,16582.71
2010-02-27,16582.71
2010-02-28,16582.71
2010-03-01,16582.71
2010-03-02,16582.71
2010-03-03,16582.71
2010-03-04,16582.71
2010-03-05,16582.71
2010-03-06,16582.71
2010-03-07,16582.71
2010-03-08,16582.71
2010-03-09,16582.71
2010-03-10,16582.71
2010-03-11,16582.71
2010-03-12,16582.71
2010-03-13,16582.71
2010-03-14,16582.71
2010-03-15,16582.71
2010-03-16,16582.71
2010-03-17,16582.71
2010-03-18,16582.71
2010-03-19,16582.71
2010-03-20,16582.71
2010-03-21,16582.71
2010-03-22,16582.71
2010-03-23,16582.71
2010-03-24,16582.71
2010-03-25,16582.71
2010-03-26,16582.71
2010-03-27,16582.71
2010-03-28,16582.71
2010-03-29,16582.71
2010-03-30,16582.71
2010-03-31,16582.71
2010-04-01,16743.162
2010-04-02,16743.162
2010-04-03,16743.162
2010-04-04,16743.162
2010-04-05,16743.162
2010-04-06,16743.162
2010-04-07,16743.162
2010-04-08,16743.162
2010-04-09,16743.162
2010-04-10,16743.162
2010-04-11,16743.162
2010-04-12,16743.162
2010-04-13,16743.162
2010-04-14,16743.162
2010-04-15,16743.162
2010-04-16,16743.162
2010-04-17,16743.162
2010-04-18,16743.162
2010-04-19,16743.162
2010-04-20,16743.162
2010-04-21,16743.162
2010-04-22,16743.162
2010-04-23,16743.162
2010-04-24,16743.162
2010-04-25,16743.162
2010-04-26,16743.162
2010-04-27,16743.162
2010-04-28,16743.162
2010-04-29,16743.162
2010-04-30,16743.162
2010-05-01,16743.162
2010-05-02,16743.162
2010-05-03,16743.162
2010-05-04,16743.162
2010-05-05,16743.162
2010-05-06,16743.162
2010-05-07,16743.162
2010-05-08,16743.162
2010-05-09,16743.162
2010-05-10,16743.162
2010-05-11,16743.162
2010-05-12,16743.162
2010-05-13,16743.162
2010-05-14,16743.162
2010-05-15,16743.162
2010-05-16,16743.162
2010-05-17,16743.162
2010-05-18,16743.162
2010-05-19,16743.162
2010-05-20,16743.162
2010-05-21,16743.162
2010-05-22,16743.162
2010-05-23,16743.162
2010-05-24,16743.162
2010-05-25,16743.162
2010-05-26,16743.162
2010-05-27,16743.162
2010-05-28,16743.162
2010-05-29,16743.162
2010-05-30,16743.162
2010-05-31,16743.162
2010-06-01,16743.162
2010-06-02,16743.162
2010-06-03,16743.162
2010-06-04,16743.162
2010-06-05,16743.162
2010-06-06,16743.162
2010-06-07,16743.162
2010-06-08,16743.162
2010-06-09,16743.162
2010-06-10,16743.162
2010-06-11,16743.162
2010-06-12,16743.162
2010-06-13,16743.162
2010-06-14,16743.162
2010-06-15,16743.162
2010-06-16,16743.162
2010-06-17,16743.162
2010-06-18,16743.162
2010-06-19,16743.162
2010-06-20,16743.162
2010-06-21,16743.162
2010-06-22,16743.162
2010-06-23,16743.162
2010-06-24,16743.162
2010-06-25,16743.162
2010-06-26,16743.162
2010-06-27,16743.162
2010-06-28,16743.162
2010-06-29,16743.162
2010-06-30,16743.162
2010-07-01,16872.266
2010-07-02,16872.266
2010-07-03,16872.266
2010-07-04,16872.266
2010-07-05,16872.266
2010-07-06,16872.266
2010-07-07,16872.266
2010-07-08,16872.266
2010-07-09,16872.266
2010-07-10,16872.266
2010-07-11,16872.266
2010-07-12,16872.266
2010-07-13,16872.266
2010-07-14,16872.266
2010-07-15,16872.266
2010-07-16,16872.266
2010-07-17,16872.266
2010-07-18,16872.266
2010-07-19,16872.266
2010-07-20,16872.266
2010-07-21,16872.266
2010-07-22,16872.266
2010-07-23,16872.266
2010-07-24,16872.266
2010-07-25,16872.266
2010-07-26,16872.266
2010-07-27,16872.266
2010-07-28,16872.266
2010-07-29,16872.266
2010-07-30,16872.266
2010-07-31,16872.266
2010-08-01,16872.266
2010-08-02,16872.266
2010-08-03,16872.266
2010-08-04,16872.266
2010-08-05,16872.266
2010-08-06,16872.266
2010-08-07,16872.266
2010-08-08,16872.266
2010-08-09,16872.266
2010-08-10,16872.266
2010-08-11,16872.266
2010-08-12,16872.266
2010-08-13,16872.266
2010-08-14,16872.266
2010-08-15,16872.266
2010-08-16,16872.266
2010-08-17,16872.266
2010-08-18,16872.266
2010-08-19,16872.266
2010-08-20,16872.266
2010-08-21,16872.266
2010-08-22,16872.266
2010-08-23,16872.266
2010-08-24,16872.266
2010-08-25,16872.266
2010-08-26,16872.266
2010-08-27,16872.266
2010-08-28,16872.266
2010-08-29,16872.266
2010-08-30,16872.266
2010-08-31,16872.266
2010-09-01,16872.266
2010-09-02,16872.266
2010-09-03,16872.266
2010-09-04,16872.266
2010-09-05,16872.266
2010-09-06,16872.266
2010-09-07,16872.266
2010-09-08,16872.266
2010-09-09,16872.266
2010-09-10,16872.266
2010-09-11,16872.266
2010-09-12,16872.266
2010-09-13,16872.266
2010-09-14,16872.266
2010-09-15,16872.266
2010-09-16,16872.266
2010-09-17,16872.266
2010-09-18,16872.266
2010-09-19,16872.266
2010-09-20,16872.266
2010-09-21,16872.266
2010-09-22,16872.266
2010-09-23,16872.266
2010-09-24,16872.266
2010-09-25,16872.266
2010-09-26,16872.266
2010-09-27,16872.266
2010-09-28,16872.266
2010-09-29,16872.266
2010-09-30,16872.266
2010-10-01,16960.864
2010-10-02,16960.864
2010-10-03,16960.864
2010-10-04,16960.864
2010-10-05,16960.864
2010-10-06,16960.864
2010-10-07,16960.864
2010-10-08,16960.864
2010-10-09,16960.864
2010-10-10,16960.864
2010-10-11,16960.864
2010-10-12,16960.864
2010-10-13,16960.864
2010-10-14,16960.864
2010-10-15,16960.864
2010-10-16,16960.864
2010-10-17,16960.864
2010-10-18,16960.864
2010-10-19,16960.864
2010-10-20,16960.864
2010-10-21,16960.864
2010-10-22,16960.864
2010-10-23,16960.864
2010-10-24,16960.864
2010-10-25,16960.864
2010-10-26,16960.864
2010-10-27,16960.864
2010-10-28,16960.864
2010-10-29,16960.864
2010-10-30,16960.864
2010-10-31,16960.864
2010-11-01,16960.864
2010-11-02,16960.864
2010-11-03,16960.864
2010-11-04,16960.864
2010-11-05,16960.864
2010-11-06,16960.864
2010-11-07,16960.864
2010-11-08,16960.864
2010-11-09,16960.864
2010-11-10,16960.864
2010-11-11,16960.864
2010-11-12,16960.864
2010-11-13,16960.864
2010-11-14,16960.864
2010-11-15,16960.864
2010-11-16,16960.864
2010-11-17,16960.864
2010-11-18,16960.864
2010-11-19,16960.864
2010-11-20,16960.864
2010-11-21,16960.864
2010-11-22,16960.864
2010-11-23,16960.864
2010-11-24,16960.864
2010-11-25,16960.864
2010-11-26,16960.864
2010-11-27,16960.864
2010-11-28,16960.864
2010-11-29,16960.864
2010-11-30,16960.864
2010-12-01,16960.864
2010-12-02,16960.864
2010-12-03,16960.864
2010-12-04,16960.864
2010-12-05,16960.864
2010-12-06,16960.864
2010-12-07,16960.864
2010-12-08,16960.864
2010-12-09,16960.864
2010-12-10,16960.864
2010-12-11,16960.864
2010-12-12,16960.864
2010-12-13,16960.864
2010-12-14,16960.864
2010-12-15,16960.864
2010-12-16,16960.864
2010-12-17,16960.864
2010-12-18,16960.864
2010-12-19,16960.864
2010-12-20,16960.864
2010-12-21,16960.864
2010-12-22,16960.864
2010-12-23,16960.864
2010-12-24,16960.864
2010-12-25,16960.864
2010-12-26,16960.864
2010-12-27,16960.864
2010-12-28,16960.864
2010-12-29,16960.864
2010-12-30,16960.864
2010-12-31,16960.864
2011-01-01,16920.632
2011-01-02,16920.632
2011-01-03,16920.632
2011-01-04,16920.632
2011-01-05,16920.632
2011-01-06,16920.632
2011-01-07,16920.632
2011-01-08,16920.632
2011-01-09,16920.632
2011-01-10,16920.632
2011-01-11,16920.632
2011-01-12,16920.632
2011-01-13,16920.632
2011-01-14,16920.632
2011-01-15,16920.632
2011-01-16,16920.632
2011-01-17,16920.632
2011-01-18,16920.632
2011-01-19,16920.632
2011-01-20,16920.632
2011-01-21,16920.632
2011-01-22,16920.632
2011-01-23,16920.632
2011-01-24,16920.632
2011-01-25,16920.632
2011-01-26,16920.632
2011-01-27,16920.632
2011-01-28,16920.632
2011-01-29,16920.632
2011-01-30,16920.632
2011-01-31,16920.632
2011-02-01,16920.632
2011-02-02,16920.632
2011-02-03,16920.632
2011-02-04,16920.632
2011-02-05,16920.632
2011-02-06,16920.632
2011-02-07,16920.632
2011-02-08,16920.632
2011-02-09,16920.632
2011-02-10,16920.632
2011-02-11,16920.632
2011-02-12,16920.632
2011-02-13,16920.632
2011-02-14,16920.632
2011-02-15,16920.632
2011-02-16,16920.632
2011-02-17,16920.632
2011-02-18,16920.632
2011-02-19,16920.632
2011-02-20,16920.632
2011-02-21,16920.632
2011-02-22,16920.632
2011-02-23,16920.632
2011-02-24,16920.632
2011-02-25,16920.632
2011-02-26,16920.632
2011-02-27,16920.632
2011-02-28,16920.632
2011-03-01,16920.632
2011-03-02,16920.632
2011-03-03,16920.632
2011-03-04,16920.632
2011-03-05,16920.632
2011-03-06,16920.632
2011-03-07,16920.632
2011-03-08,16920.632
