Date,Actual_Buying_Level,XGBoost_Predicted_Level,Random_Walk_Level
2022-01-20,6.0071,5.8949966,5.5339
2022-01-21,6.006900000000001,5.896005,5.5339
2022-01-24,6.0079,5.8965287,5.5339
2022-01-25,6.0079,5.896633,5.5339
2022-01-26,6.009400000000001,5.897236,5.5339
2022-01-27,6.0196000000000005,5.903348,5.5339
2022-01-28,6.0196000000000005,5.9038825,5.5339
2022-01-31,6.0206,5.9061112,5.5339
2022-02-01,6.0996,5.977429,5.5339
2022-02-02,6.0996,5.979961,5.5339
2022-02-03,6.1046,5.9958735,5.5339
2022-02-04,6.1046,5.9990664,5.5339
2022-02-07,6.156699999999999,6.0416474,5.5339
2022-02-08,6.1976,6.0744834,5.5339
2022-02-09,6.197399999999999,6.07764,5.5339
2022-02-10,6.207600000000001,6.093992,5.5339
2022-02-11,6.2988,6.1410155,5.5339
2022-02-14,6.2989,6.1607895,5.5339
2022-02-15,6.3037,6.1870584,5.5339
2022-02-16,6.3068,6.1942234,5.5339
2022-02-17,6.317,6.20012,5.5339
2022-02-18,6.419499999999999,6.3039904,5.5339
2022-02-21,6.419499999999999,6.3374295,5.5339
2022-02-22,6.4193,6.371664,5.5339
2022-02-23,6.446999999999999,6.3850904,5.5339
2022-02-24,6.4971,6.4275875,5.5339
2022-02-25,6.5971,6.508078,5.5339
2022-02-28,6.5971,6.5522933,5.5339
2022-03-01,6.6972,6.596671,5.5339
2022-03-02,6.993099999999999,6.6556234,5.5339
2022-03-03,6.9974,6.709487,5.5339
2022-03-04,6.9984,6.786399,5.5339
2022-03-08,7.0065,6.868523,5.5339
2022-03-09,7.006600000000001,6.8788595,5.5339
2022-03-10,7.016499999999999,6.89652,5.5339
2022-03-11,7.0215,6.9096384,5.5339
2022-03-14,7.0264999999999995,6.9192758,5.5339
2022-03-15,7.0315,6.9249077,5.5339
2022-03-16,7.0315,6.926804,5.5339
2022-03-17,7.0315,6.9282846,5.5339
2022-03-18,7.108899999999999,7.0023475,5.5339
2022-03-21,7.108899999999999,7.017906,5.5339
2022-03-22,7.108799999999999,7.037937,5.5339
2022-03-23,7.108699999999999,7.045274,5.5339
2022-03-24,7.1086,7.046894,5.5339
2022-03-25,7.108499999999999,7.0476484,5.5339
2022-03-28,7.108999999999999,7.048484,5.5339
2022-03-29,7.108799999999999,7.0492773,5.5339
2022-03-30,7.108799999999999,7.0494394,5.5339
2022-03-31,7.1086,7.049575,5.5339
2022-04-01,7.1084000000000005,7.049506,5.5339
2022-04-04,7.1084000000000005,7.049588,5.5339
2022-04-05,7.108300000000001,7.049673,5.5339
2022-04-06,7.1081,7.0497236,5.5339
2022-04-07,7.1084000000000005,7.0498195,5.5339
2022-04-08,7.1084000000000005,7.049938,5.5339
2022-04-11,7.108899999999999,7.050102,5.5339
2022-04-12,7.108899999999999,7.0502477,5.5339
2022-04-13,7.108999999999999,7.0504107,5.5339
2022-04-14,7.108799999999999,7.050573,5.5339
2022-04-19,7.108799999999999,7.0506554,5.5339
2022-04-20,7.1086,7.050737,5.5339
2022-04-21,7.1086,7.0508194,5.5339
2022-04-22,7.108799999999999,7.0509543,5.5339
2022-04-25,7.108699999999999,7.0510216,5.5339
2022-04-26,7.108899999999999,7.0511837,5.5339
2022-04-27,7.108799999999999,7.05133,5.5339
